"","Module","Symbol","X0rder","Function","Module_gene"
"201","M5.7","AMICA1",3411,"M5.7.Inflammation","M5.7_AMICA1"
"202","M5.7","PYCARD",3440,"M5.7.Inflammation","M5.7_PYCARD"
"203","M5.7","CXCL16",3443,"M5.7.Inflammation","M5.7_CXCL16"
"204","M5.7","FCGR2B",3452,"M5.7.Inflammation","M5.7_FCGR2B"
"205","M5.7","IGF2R",3465,"M5.7.Inflammation","M5.7_IGF2R"
"206","M5.7","BID",3473,"M5.7.Inflammation","M5.7_BID"
"207","M5.7","CLEC4A",3476,"M5.7.Inflammation","M5.7_CLEC4A"
"208","M5.7","ICAM3",3485,"M5.7.Inflammation","M5.7_ICAM3"
"209","M5.8","NFATC3",3557,"M5.8","M5.8_NFATC3"
"210","M5.8","IKBKB",3572,"M5.8","M5.8_IKBKB"
"211","M5.9","RORA",3680,"M5.9.Protein Synthesis","M5.9_RORA"
"212","M5.10","MIF",3697,"M5.10.Mitochondrial Respiration","M5.10_MIF"
"213","M5.10","ICAM2",3833,"M5.10.Mitochondrial Respiration","M5.10_ICAM2"
"214","M5.11","SMAD3",3979,"M5.11","M5.11_SMAD3"
"215","M5.12","TAP2",3996,"M5.12.Interferon","M5.12_TAP2"
"216","M5.12","IFI16",3999,"M5.12.Interferon","M5.12_IFI16"
"217","M5.12","TAP1",4000,"M5.12.Interferon","M5.12_TAP1"
"218","M5.12","C1QA",4004,"M5.12.Interferon","M5.12_C1QA"
"219","M5.12","ISG20",4041,"M5.12.Interferon","M5.12_ISG20"
"220","M5.12","PSMB9",4049,"M5.12.Interferon","M5.12_PSMB9"
"221","M5.12","BST2",4051,"M5.12.Interferon","M5.12_BST2"
"222","M5.12","CASP1",4052,"M5.12.Interferon","M5.12_CASP1"
"223","M5.13","MAP2K1",4107,"M5.13","M5.13_MAP2K1"
"224","M5.13","CD48",4200,"M5.13","M5.13_CD48"
"225","M5.13","BTK",4208,"M5.13","M5.13_BTK"
"226","M5.14","TNFSF14",4255,"M5.14","M5.14_TNFSF14"
"227","M5.14","PTGS2",4266,"M5.14","M5.14_PTGS2"
"228","M5.14","TREM1",4269,"M5.14","M5.14_TREM1"
"229","M5.14","ITGA5",4277,"M5.14","M5.14_ITGA5"
"230","M5.14","PECAM1",4286,"M5.14","M5.14_PECAM1"
"231","M5.14","IGF1R",4291,"M5.14","M5.14_IGF1R"
"232","M5.14","F2RL1",4304,"M5.14","M5.14_F2RL1"
"233","M5.15","LTF",4308,"M5.15.Neutrophils","M5.15_LTF"
"234","M5.15","CEACAM8",4310,"M5.15.Neutrophils","M5.15_CEACAM8"
"235","M5.15","CEACAM6",4311,"M5.15.Neutrophils","M5.15_CEACAM6"
"236","M5.15","CTSG",4313,"M5.15.Neutrophils","M5.15_CTSG"
"237","M5.15","HP",4317,"M5.15.Neutrophils","M5.15_HP"
"238","M5.15","ARG1",4322,"M5.15.Neutrophils","M5.15_ARG1"
"239","M5.15","CAMP",4329,"M5.15.Neutrophils","M5.15_CAMP"
"240","M6.1","ITGB3",4410,"M6.1","M6.1_ITGB3"
"241","M6.3","EP300",4717,"M6.3","M6.3_EP300"
"242","M6.4","CNOT1",4791,"M6.4","M6.4_CNOT1"
"243","M6.4","PSMB1",4817,"M6.4","M6.4_PSMB1"
"244","M6.5","EWSR1",4885,"M6.5","M6.5_EWSR1"
"245","M6.6","TNFRSF1B",4934,"M6.6.Apoptosis/Survival","M6.6_TNFRSF1B"
"246","M6.6","FADD",4947,"M6.6.Apoptosis/Survival","M6.6_FADD"
"247","M6.6","CD14",4951,"M6.6.Apoptosis/Survival","M6.6_CD14"
"248","M6.6","MARCO",4952,"M6.6.Apoptosis/Survival","M6.6_MARCO"
"249","M6.6","SERPINB2",4959,"M6.6.Apoptosis/Survival","M6.6_SERPINB2"
"250","M6.6","C3AR1",4964,"M6.6.Apoptosis/Survival","M6.6_C3AR1"
"251","M6.6","IL4R",4969,"M6.6.Apoptosis/Survival","M6.6_IL4R"
"252","M6.6","IKBKG",4971,"M6.6.Apoptosis/Survival","M6.6_IKBKG"
"253","M6.6","TNFSF13",4972,"M6.6.Apoptosis/Survival","M6.6_TNFSF13"
"254","M6.7","AMMECR1",4978,"M6.7","M6.7_AMMECR1"
"255","M6.7","CD47",5045,"M6.7","M6.7_CD47"
"256","M6.8","PSMB7",5062,"M6.8","M6.8_PSMB7"
"257","M6.8","PIN1",5067,"M6.8","M6.8_PIN1"
"258","M6.9","ETS1",5096,"M6.9","M6.9_ETS1"
"259","M6.10","GTF3C1",5158,"M6.10","M6.10_GTF3C1"
"260","M6.12","C1QBP",5237,"M6.12.Mitochondrial Stress","M6.12_C1QBP"
"261","M6.13","FCER1G",5303,"M6.13.Cell Death","M6.13_FCER1G"
"262","M6.13","LILRB3",5308,"M6.13.Cell Death","M6.13_LILRB3"
"263","M6.13","PLAUR",5323,"M6.13.Cell Death","M6.13_PLAUR"
"264","M6.13","LAMP2",5342,"M6.13.Cell Death","M6.13_LAMP2"
"265","M6.13","NFKBIA",5346,"M6.13.Cell Death","M6.13_NFKBIA"
"266","M6.13","NLRP3",5349,"M6.13.Cell Death","M6.13_NLRP3"
"267","M6.14","CDKN1A",5359,"M6.14","M6.14_CDKN1A"
"268","M6.14","THBS1",5364,"M6.14","M6.14_THBS1"
"269","M6.14","CD9",5383,"M6.14","M6.14_CD9"
"270","M6.15","CD8B",5430,"M6.15","M6.15_CD8B"
"271","M6.17","PSMB10",5469,"M6.17","M6.17_PSMB10"
"272","M6.17","ELK1",5473,"M6.17","M6.17_ELK1"
"273","M6.19","FLT3LG",5542,"M6.19","M6.19_FLT3LG"
"274","M6.19","IL23A",5547,"M6.19","M6.19_IL23A"
"275","M6.19","IL21R",5570,"M6.19","M6.19_IL21R"
"276","M6.20","CREBBP",5579,"M6.20","M6.20_CREBBP"
"277","M6.20","ZNF20",5607,"M6.20","M6.20_ZNF20"
"278","M7.1","IRAK4",5688,"M7.1.Inflammation","M7.1_IRAK4"
"279","M7.1","MAP3K5",5711,"M7.1.Inflammation","M7.1_MAP3K5"
"280","M7.1","IL2RG",5719,"M7.1.Inflammation","M7.1_IL2RG"
"281","M7.1","TANK",5720,"M7.1.Inflammation","M7.1_TANK"
"282","M7.1","LTBR",5725,"M7.1.Inflammation","M7.1_LTBR"
"283","M7.1","SH2B2",5726,"M7.1.Inflammation","M7.1_SH2B2"
"284","M7.1","ANXA1",5779,"M7.1.Inflammation","M7.1_ANXA1"
"285","M7.1","SYK",5782,"M7.1.Inflammation","M7.1_SYK"
"286","M7.1","RUNX1",5801,"M7.1.Inflammation","M7.1_RUNX1"
"287","M7.2","ATG10",5887,"M7.2","M7.2_ATG10"
"288","M7.2","TNFRSF12A",5909,"M7.2","M7.2_TNFRSF12A"
"289","M7.2","CXCL14",5951,"M7.2","M7.2_CXCL14"
"290","M7.2","HLA-C",5954,"M7.2","M7.2_HLA-C"
"291","M7.3","MAP3K1",6003,"M7.3","M7.3_MAP3K1"
"292","M7.3","TLR7",6039,"M7.3","M7.3_TLR7"
"293","M7.3","ADORA2A",6059,"M7.3","M7.3_ADORA2A"
"294","M7.3","IFNAR2",6082,"M7.3","M7.3_IFNAR2"
"295","M7.3","CYLD",6107,"M7.3","M7.3_CYLD"
"296","M7.3","ITGB1",6112,"M7.3","M7.3_ITGB1"
