"","B-cells","CD8 T cells","Cytotoxic cells","DC","Exhausted CD8","Monocytes","NK CD56dim cells","NK cells","T-cells","Th1 cells","Treg"
"107-27-006 C1D01",3.22457664535036,5.72554395334512,5.66661813646182,3.41329852089122,4.0381215601966,6.31000763545954,4.21831102065084,2.49913051080619,4.94736420111841,5.82833602017007,2.82833602017007
"107-27-006 C1D08",2.53065584877915,3.65213180627877,6.0674085484103,4.71564825990331,3.34557883170074,8.34040067100652,2.93137695095875,4.1537693722952,4.79288975221941,5.71564825990331,2.0833800444038
"107-27-006 C1D15",3.1261707861665,4.67608887237559,6.52089294718879,2.61144736390311,3.19574974324819,8.07101821575437,3.54723233792231,4.47237671479111,5.11222600440638,5.78137236534542,1.61144736390311
"107-27-006 C1D22",2.8530424274472,5.56098211686508,6.92404159671876,2.26400647489088,3.58169945909505,7.37484040677434,4.29032358868915,4.91333563267314,5.90498392109115,6.62857890718673,2.26400647489088
"107-27-006 C2D01",2.37259336988755,3.9838263821231,5.91891844084865,1.6691480720833,2.46658721300955,7.93111600492266,3.05912307256407,3.83011211952698,4.59519865264434,5.4765029941409,0.669148072083296
"107-27-006 C2D08",3.43612161103044,4.07266531224561,6.13447971998344,3.26549215849449,3.06453068892168,8.563678295587,3.04615017085753,4.26326233439914,4.41942774813531,5.30502052268112,2.41749525193954
"107-27-006 C2D15",3.35206800267405,4.02319254624207,6.58894481682841,2.06974724843781,3.53599514575054,8.60257167691844,3.30782908765985,5.30963738045236,4.56053077844779,5.56160034476749,1.06974724843781
"107-27-006 C3D01",2.95977025284728,5.67885697828598,7.19237754104453,0.517892930842296,4.68309467457256,7.34074640023448,4.33375955026895,5.22258839891115,5.71188360850156,6.89293236218922,1.5178929308423
"107-27-006 C4D01",4.08499185863381,5.21072797155218,7.34823952871862,1.25055154384464,3.771299018585,7.0580981123189,4.0887895618908,5.63298733921268,5.7975948994761,6.70998316248194,3.05790646590224
"107-27-006 FUW04",3.90451171921669,5.72806701064607,7.27806313612913,2.23562045684117,4.00959648847029,7.20164244914614,4.53791732204401,5.77935187746634,6.19471616119854,6.29451414589474,2.23562045684117
"107-27-006 FUW12",3.60969729936427,6.83548504442064,7.94536527207075,0,4.7914998794484,6.66335015296659,4.60502407657706,5.71137946231835,6.17550641857789,6.90911918658815,1.88675137355969
"107-27-008 C1D01",3.39441581599936,6.34168600364654,7.02280067964287,1.92682463610351,3.39093044369643,6.33432232018567,5.01438535022423,3.56952574553463,6.18260444055732,6.57068082587824,2.51178713682467
"107-27-008 C1D08",4.41477638897376,5.47094511759622,7.29272344041707,1.86567708577289,3.41148705931132,5.79290829646074,4.84017460675477,5.22356277172143,6.92586171923779,6.88062742723886,1.86567708577289
"107-27-008 C1D15",2.51875399989675,5.23861410537392,7.45490998189216,2.84636211390914,3.95290142530919,7.07186921459465,5.33667119973418,4.9392953865648,6.57575448439652,7.22487373716287,2.52443401902177
"107-27-008 C1D22",2.68001746302917,5.58886041395651,7.12320441962489,1.5537253876877,3.34519055928153,6.70666286489603,4.57933058670464,4.64091084092445,6.38303307893654,6.73694721174347,2.29069098185391
"107-27-008 C2D01",2.94100784299476,5.58572727755981,7.40445881747111,3.13918487951807,3.18591076553415,6.53045307568186,5.03727794453962,5.35402701713969,6.40282204665958,7.11318967098512,1.91679245818162
"107-27-008 C2D08",2.27626375659348,5.64376163444339,7.23815184921358,2.67250438177377,3.63429019312673,6.29853909715853,4.79679273514463,4.96997767642066,6.08790514621636,7.0533261657147,1.67250438177377
"107-27-008 C2D15",2.43607695459303,5.22809480269524,7.16101815804911,2.49735507905216,4.05128111164283,6.59781510769893,4.7071406190787,5.23724521106671,5.90936954315744,6.88967250183093,1.49735507905216
"107-27-008 C3D01",2.76669710365658,5.43026080024031,6.96210388943616,1.91293772883687,3.98058441506029,7.0168617163196,4.84872270285607,5.22029265089447,6.02084926617144,6.5759027415593,2.32797522811571
"107-27-008 C4D01",2.53145784791729,5.59969710709187,7.37249442305814,0.370493800473606,3.44676669730557,6.71197797880783,4.95878433071897,5.87190130827713,6.13336184705035,6.37049380047361,1.95545630119476
"107-27-008 FUW04",2.61296890186856,5.17024512964805,7.31627818540943,1.22688877281261,3.061055552989,6.6889215221408,4.88614108158866,5.48078609291196,5.92512347254375,7.18882073197909,2.44928119414906
"107-27-008 FUW12",2.5827843037838,5.64307750900974,6.72277230196483,1.9643015067007,2.68163587118238,6.45105693007273,4.02976724430187,4.67182025634012,6.68446251060133,5.90290096203655,1.9643015067007
"107-27-009 C1D01",3.41727543632378,4.91972669057994,6.56788590028709,2.52495986809476,3.20642457454758,6.12416032479228,3.88054717889039,4.56536863189892,6.47606350527556,6.51364455486692,2.10992236881592
"107-27-009 C1D08",3.42296716163689,4.1965758621014,6.46197547589868,3.55182255350391,3.63352671944942,5.63949038135084,4.24480243058902,4.65727094475322,6.55553607696727,6.1892524741192,2.3818975520616
"107-27-009 C1D15",3.78877385520887,4.84246866451551,6.90106350744977,2.35382870276556,2.67958867726553,5.28530065821559,4.04520919034972,4.75750616379436,6.57070834605401,6.78009345746765,3.16118362482316
"107-27-009 C1D22",3.53978643199883,5.28741684585001,6.55006047608793,3.37972519794324,3.63135436533107,6.47921067093463,3.94884490863687,4.63362251804259,6.23849920483586,6.70165329283061,3.9646876986644
